address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost_for_two,reviews_list,cuisines_count,service_type,city_list,high_rated,cuisine_count,multi_cuisine
"Address_876, Bangalore",KFC,Yes,No,3.0,968,080-1292604,Jayanagar,Casual Dining,Pasta,"Fast Food, Thai, Italian, Chinese, Desserts",800.0,Sample Review Text...,5,Delivery,Bengaluru,0,5,3+ Cuisines
"Address_774, Bangalore",Burger King,No,Yes,4.5,1147,080-9146156,Whitefield,Quick Service Restaurant,Burgers,"Thai, Mexican, Continental, South Indian, North Indian",200.0,Sample Review Text...,5,Buffet,Bengaluru,1,5,3+ Cuisines
"Address_258, Bangalore",Burger King,No,Yes,,29,080-6299951,Indiranagar,Pub,Steak,Mexican,800.0,Sample Review Text...,1,Drinks & nightlife,Bengaluru,0,1,1-2 Cuisines
"Address_372, Bangalore",Resto_372,Yes,No,4.2,2878,080-8095573,HSR Layout,Bar,Dosa,"Thai, Fast Food",1000.0,Sample Review Text...,2,Delivery,Bengaluru,1,2,1-2 Cuisines
"Address_1, Bangalore",Burger King,Yes,No,4.3,26,080-7374122,Jayanagar,Fine Dining,Pizza,"Thai, Continental, South Indian, Chinese",1200.0,Sample Review Text...,4,Drinks & nightlife,Bengaluru,1,4,3+ Cuisines
"Address_366, Bangalore",Resto_366,No,Yes,2.1,2329,080-6764248,Koramangala,Quick Service Restaurant,Burgers,"Chinese, Desserts",2000.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_509, Bangalore",McDonald's,Yes,No,2.2,2013,080-3913796,Indiranagar,Cafe,Burgers,South Indian,800.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_744, Bangalore",Burger King,No,Yes,3.4,1243,080-7602542,JP Nagar,Cafe,Steak,"Thai, Fast Food, Beverages",2000.0,Sample Review Text...,3,Delivery,Bengaluru,0,3,3+ Cuisines
"Address_277, Bangalore",Burger King,No,Yes,2.8,2566,080-8838205,Jayanagar,Cafe,Dosa,"South Indian, North Indian, Beverages, Thai, Fast Food",,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_722, Bangalore",Resto_722,No,Yes,2.1,1329,080-8979292,HSR Layout,Casual Dining,Biryani,"Continental, Desserts, Mexican, Thai, Fast Food",1200.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_640, Bangalore",Leon Grill,No,No,2.2,2642,080-6840068,Marathahalli,Bakery,Steak,"Fast Food, South Indian, Continental, Chinese",1200.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_535, Bangalore",Nandhana Palace,Yes,Yes,3.7,737,080-3704659,Koramangala,Pub,Pizza,"Thai, Chinese, North Indian, Beverages",3000.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_538, Bangalore",KFC,No,No,3.8,304,080-3403234,Whitefield,Quick Service Restaurant,Burgers,"South Indian, Mexican, Desserts, North Indian",1000.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_298, Bangalore",Nandhana Palace,Yes,Yes,3.8,221,080-6483324,Whitefield,Pub,Burgers,Thai,2500.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_367, Bangalore",Leon Grill,Yes,Yes,3.5,886,080-8285484,Marathahalli,Bar,Burgers,"Continental, North Indian, Mexican, Thai",800.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_417, Bangalore",Resto_417,Yes,Yes,4.3,557,080-3647821,Koramangala,Bakery,Burgers,"Continental, Thai",3000.0,Sample Review Text...,2,Buffet,Bengaluru,1,2,1-2 Cuisines
"Address_350, Bangalore",Leon Grill,Yes,Yes,3.4,310,080-2046686,Marathahalli,Quick Service Restaurant,Steak,"Thai, Continental, South Indian, Mexican",400.0,Sample Review Text...,4,Cafes,Bengaluru,0,4,3+ Cuisines
"Address_875, Bangalore",Resto_875,No,Yes,4.7,2812,080-6664086,MG Road,Cafe,Dosa,Fast Food,200.0,Sample Review Text...,1,Drinks & nightlife,Bengaluru,1,1,1-2 Cuisines
"Address_715, Bangalore",Resto_715,No,No,,2678,080-2945459,MG Road,Bakery,Salad,Continental,,Sample Review Text...,1,Buffet,Bengaluru,0,1,1-2 Cuisines
"Address_175, Bangalore",Resto_175,No,No,3.7,489,080-8802985,Koramangala,Cafe,Dosa,"Beverages, North Indian",1500.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_338, Bangalore",KFC,No,No,4.1,1663,080-7044627,MG Road,Bakery,Steak,"Italian, South Indian, Desserts, Chinese, Mexican",,Sample Review Text...,5,Dine-out,Bengaluru,1,5,3+ Cuisines
"Address_566, Bangalore",Resto_566,No,Yes,2.4,48,080-2402500,Indiranagar,Bakery,Dosa,"North Indian, Chinese, Fast Food, Mexican",200.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_865, Bangalore",Resto_865,Yes,No,,245,080-9059592,Koramangala,Casual Dining,Burgers,"Continental, Beverages, North Indian, South Indian, Chinese",,Sample Review Text...,5,Dine-out,Bengaluru,0,5,3+ Cuisines
"Address_151, Bangalore",Nandhana Palace,Yes,Yes,3.0,847,080-2930810,Marathahalli,Quick Service Restaurant,Biryani,"Chinese, Desserts, Beverages, South Indian",400.0,Sample Review Text...,4,Drinks & nightlife,Bengaluru,0,4,3+ Cuisines
"Address_580, Bangalore",Resto_580,Yes,Yes,2.0,1266,080-1752869,HSR Layout,Pub,Salad,"North Indian, Italian",1000.0,Sample Review Text...,2,Delivery,Bengaluru,0,2,1-2 Cuisines
"Address_609, Bangalore",Nandhana Palace,No,No,2.9,807,080-3871248,Koramangala,Bar,Sushi,"Desserts, North Indian, Continental, Italian",400.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_886, Bangalore",Pizza Hut,No,Yes,4.1,2922,080-9220106,HSR Layout,Cafe,Steak,"North Indian, Chinese, Mexican, Beverages, Fast Food",1000.0,Sample Review Text...,5,Buffet,Bengaluru,1,5,3+ Cuisines
"Address_39, Bangalore",Onesta,No,No,2.3,907,080-6767292,MG Road,Fine Dining,Steak,"Continental, Thai",2000.0,Sample Review Text...,2,Pubs and bars,Bengaluru,0,2,1-2 Cuisines
"Address_705, Bangalore",Leon Grill,Yes,No,3.6,2876,080-4535328,MG Road,Quick Service Restaurant,Dosa,"Italian, Thai, Continental",400.0,Sample Review Text...,3,Dine-out,Bengaluru,0,3,3+ Cuisines
"Address_651, Bangalore",Resto_651,Yes,No,2.1,1432,080-2288554,HSR Layout,Quick Service Restaurant,Pizza,"Fast Food, Mexican",2000.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_174, Bangalore",Nandhana Palace,Yes,Yes,,50,080-8035849,HSR Layout,Casual Dining,Burgers,"Thai, Mexican, South Indian, Chinese",200.0,Sample Review Text...,4,Drinks & nightlife,Bengaluru,0,4,3+ Cuisines
"Address_944, Bangalore",Resto_944,Yes,Yes,3.4,402,080-2932023,Marathahalli,Bar,Dosa,"Thai, North Indian, Beverages, Fast Food, Chinese",1200.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_531, Bangalore",Resto_531,Yes,Yes,4.5,417,080-1880336,Jayanagar,Bakery,Pizza,"South Indian, North Indian, Chinese, Fast Food",2000.0,Sample Review Text...,4,Buffet,Bengaluru,1,4,3+ Cuisines
"Address_329, Bangalore",Resto_329,No,No,3.9,1116,080-6343290,Jayanagar,Cafe,Dosa,"Chinese, North Indian, Fast Food",800.0,Sample Review Text...,3,Dine-out,Bengaluru,0,3,3+ Cuisines
"Address_260, Bangalore",Onesta,No,No,4.2,1630,080-3714471,Jayanagar,Bar,Pizza,Italian,2000.0,Sample Review Text...,1,Dine-out,Bengaluru,1,1,1-2 Cuisines
"Address_191, Bangalore",Resto_191,Yes,Yes,2.4,318,080-4517918,HSR Layout,Quick Service Restaurant,Burgers,"South Indian, Chinese, Thai",2000.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_205, Bangalore",Pizza Hut,Yes,No,,203,080-9611430,Jayanagar,Bar,Biryani,"Italian, Fast Food, Beverages, Thai, Chinese",1000.0,Sample Review Text...,5,Pubs and bars,Bengaluru,0,5,3+ Cuisines
"Address_879, Bangalore",McDonald's,No,Yes,3.8,1811,080-4475080,HSR Layout,Quick Service Restaurant,Burgers,"Chinese, Mexican",600.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_606, Bangalore",Onesta,No,No,4.2,1305,080-1566398,Indiranagar,Pub,Dosa,"Mexican, Italian, Thai, South Indian",400.0,Sample Review Text...,4,Buffet,Bengaluru,1,4,3+ Cuisines
"Address_470, Bangalore",Resto_470,Yes,Yes,3.7,933,080-8615616,Whitefield,Cafe,Biryani,Beverages,3000.0,Sample Review Text...,1,Cafes,Bengaluru,0,1,1-2 Cuisines
"Address_50, Bangalore",Burger King,Yes,Yes,4.6,1890,080-7970771,Indiranagar,Fine Dining,Salad,"Desserts, Continental",2500.0,Sample Review Text...,2,Cafes,Bengaluru,1,2,1-2 Cuisines
"Address_196, Bangalore",Pizza Hut,No,No,3.9,373,080-8377620,MG Road,Cafe,Salad,"Mexican, Thai, South Indian",2000.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,0,3,3+ Cuisines
"Address_732, Bangalore",Resto_732,No,No,2.3,1075,080-5078015,Indiranagar,Fine Dining,Salad,"Thai, Mexican",1200.0,Sample Review Text...,2,Dine-out,Bengaluru,0,2,1-2 Cuisines
"Address_351, Bangalore",Resto_351,Yes,No,2.8,1804,080-2819161,Indiranagar,Bakery,Pasta,"Fast Food, Mexican",600.0,Sample Review Text...,2,Buffet,Bengaluru,0,2,1-2 Cuisines
"Address_128, Bangalore",Empire Restaurant,Yes,Yes,2.7,889,080-3403511,Koramangala,Cafe,Burgers,"Continental, Italian, Thai, Fast Food, Mexican",1200.0,Sample Review Text...,5,Cafes,Bengaluru,0,5,3+ Cuisines
"Address_549, Bangalore",Resto_549,No,Yes,3.1,1492,080-8280643,MG Road,Cafe,Biryani,"Continental, Chinese, Desserts, Thai, Italian",600.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_308, Bangalore",Resto_308,Yes,Yes,2.9,2888,080-9941610,Jayanagar,Bakery,Pizza,"Fast Food, South Indian",1200.0,Sample Review Text...,2,Dine-out,Bengaluru,0,2,1-2 Cuisines
"Address_370, Bangalore",Empire Restaurant,Yes,No,3.0,133,080-6632022,Whitefield,Bakery,Biryani,"Fast Food, Beverages, Italian",400.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_467, Bangalore",Onesta,No,Yes,3.9,317,080-3972698,Koramangala,Bar,Biryani,"Chinese, Thai, Mexican, Desserts",3000.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_248, Bangalore",Empire Restaurant,No,Yes,3.6,2226,080-5882155,Marathahalli,Fine Dining,Pasta,"Thai, Mexican",800.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_284, Bangalore",Resto_284,Yes,No,3.3,137,080-6236326,HSR Layout,Bakery,Sushi,Beverages,800.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_57, Bangalore",Leon Grill,Yes,No,3.3,2731,080-6018975,Koramangala,Bar,Steak,"Continental, Beverages, South Indian, North Indian",,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_625, Bangalore",Resto_625,Yes,Yes,4.5,2700,080-4252130,Jayanagar,Quick Service Restaurant,Steak,"North Indian, Italian, Mexican, South Indian",800.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_856, Bangalore",Resto_856,Yes,Yes,4.8,1728,080-8189437,JP Nagar,Fine Dining,Salad,"North Indian, Continental, Thai, Italian",1200.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_166, Bangalore",Resto_166,No,Yes,4.4,545,080-3539636,Jayanagar,Casual Dining,Steak,"Fast Food, North Indian, South Indian, Italian, Desserts",800.0,Sample Review Text...,5,Buffet,Bengaluru,1,5,3+ Cuisines
"Address_579, Bangalore",Resto_579,No,No,4.3,2648,080-6628280,MG Road,Cafe,Biryani,"Chinese, Fast Food, Beverages",1200.0,Sample Review Text...,3,Dine-out,Bengaluru,1,3,3+ Cuisines
"Address_411, Bangalore",Resto_411,Yes,No,3.9,369,080-3024047,MG Road,Bar,Dosa,"Italian, Chinese",3000.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_808, Bangalore",McDonald's,Yes,No,3.2,1852,080-9890863,Marathahalli,Bakery,Burgers,"Thai, Fast Food, Beverages, Desserts",1500.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_643, Bangalore",KFC,Yes,No,4.0,923,080-1406730,HSR Layout,Fine Dining,Pizza,"Mexican, Beverages",800.0,Sample Review Text...,2,Dine-out,Bengaluru,1,2,1-2 Cuisines
"Address_144, Bangalore",Resto_144,No,Yes,4.3,1577,080-7387623,Koramangala,Quick Service Restaurant,Pasta,"Mexican, Chinese, Italian, Continental",2500.0,Sample Review Text...,4,Dine-out,Bengaluru,1,4,3+ Cuisines
"Address_494, Bangalore",Onesta,Yes,No,2.5,1682,080-2153651,MG Road,Cafe,Steak,South Indian,2500.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_789, Bangalore",Pizza Hut,No,Yes,3.2,928,080-9789034,JP Nagar,Fine Dining,Dosa,Thai,2000.0,Sample Review Text...,1,Delivery,Bengaluru,0,1,1-2 Cuisines
"Address_596, Bangalore",Nandhana Palace,No,Yes,4.5,867,080-6882321,HSR Layout,Bar,Salad,"Beverages, Mexican, Chinese, Desserts",,Sample Review Text...,4,Cafes,Bengaluru,1,4,3+ Cuisines
"Address_246, Bangalore",Pizza Hut,Yes,No,4.8,690,080-3253277,Koramangala,Quick Service Restaurant,Sushi,"Italian, Mexican",,Sample Review Text...,2,Cafes,Bengaluru,1,2,1-2 Cuisines
"Address_288, Bangalore",Pizza Hut,No,Yes,3.6,1325,080-5418267,Marathahalli,Quick Service Restaurant,Sushi,"Beverages, South Indian, Chinese, Continental, Desserts",2000.0,Sample Review Text...,5,Cafes,Bengaluru,0,5,3+ Cuisines
"Address_70, Bangalore",Resto_70,No,No,4.0,1942,080-7251976,Indiranagar,Casual Dining,Pasta,Chinese,1500.0,Sample Review Text...,1,Buffet,Bengaluru,1,1,1-2 Cuisines
"Address_782, Bangalore",KFC,Yes,Yes,4.8,2507,080-7704457,Marathahalli,Bar,Steak,"Mexican, Beverages, Italian, Desserts",600.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_206, Bangalore",Resto_206,Yes,Yes,2.0,1033,080-8829893,Whitefield,Fine Dining,Dosa,"Mexican, Fast Food, Thai",2000.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_811, Bangalore",KFC,Yes,No,2.7,534,080-1145436,Marathahalli,Quick Service Restaurant,Biryani,"Fast Food, Beverages, North Indian, Thai, Desserts",400.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_545, Bangalore",Nandhana Palace,No,Yes,4.6,29,080-9783147,MG Road,Fine Dining,Burgers,"Thai, Italian, North Indian, Continental, Beverages",600.0,Sample Review Text...,5,Dine-out,Bengaluru,1,5,3+ Cuisines
"Address_33, Bangalore",Resto_33,No,No,4.4,1033,080-6871360,Indiranagar,Bakery,Burgers,Beverages,200.0,Sample Review Text...,1,Pubs and bars,Bengaluru,1,1,1-2 Cuisines
"Address_143, Bangalore",Leon Grill,No,No,2.3,1262,080-9597330,Marathahalli,Quick Service Restaurant,Steak,"Chinese, South Indian, Fast Food",600.0,Sample Review Text...,3,Delivery,Bengaluru,0,3,3+ Cuisines
"Address_547, Bangalore",Pizza Hut,Yes,Yes,3.6,890,080-6512184,Whitefield,Fine Dining,Dosa,"North Indian, Desserts, Beverages, Fast Food, South Indian",200.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_860, Bangalore",Burger King,Yes,No,4.0,2011,080-2840033,Jayanagar,Bakery,Pasta,"South Indian, North Indian, Continental",3000.0,Sample Review Text...,3,Delivery,Bengaluru,1,3,3+ Cuisines
"Address_352, Bangalore",KFC,Yes,No,2.3,298,080-1014556,Indiranagar,Pub,Biryani,"Desserts, North Indian, Fast Food",600.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_471, Bangalore",Empire Restaurant,No,No,3.2,498,080-8047472,Marathahalli,Bakery,Salad,"Beverages, North Indian, Italian",200.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,0,3,3+ Cuisines
"Address_783, Bangalore",Resto_783,No,No,3.1,961,080-3160312,JP Nagar,Pub,Pizza,"Chinese, South Indian, Thai",800.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_318, Bangalore",Empire Restaurant,Yes,No,3.6,850,080-1544120,Koramangala,Cafe,Dosa,"North Indian, Thai",200.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_66, Bangalore",Resto_66,Yes,Yes,2.1,60,080-1879109,JP Nagar,Bar,Pasta,"Fast Food, Thai",200.0,Sample Review Text...,2,Pubs and bars,Bengaluru,0,2,1-2 Cuisines
"Address_129, Bangalore",Resto_129,Yes,Yes,3.2,2030,080-4084977,Koramangala,Quick Service Restaurant,Salad,"Beverages, Thai, Mexican, Italian",600.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_497, Bangalore",Resto_497,Yes,Yes,4.7,981,080-7186297,Jayanagar,Quick Service Restaurant,Pizza,"Continental, Chinese, Italian, Desserts, Mexican",2500.0,Sample Review Text...,5,Delivery,Bengaluru,1,5,3+ Cuisines
"Address_521, Bangalore",McDonald's,No,No,4.8,1352,080-5688687,Indiranagar,Casual Dining,Burgers,"Mexican, South Indian, North Indian, Continental",400.0,Sample Review Text...,4,Drinks & nightlife,Bengaluru,1,4,3+ Cuisines
"Address_237, Bangalore",Nandhana Palace,No,Yes,3.9,1356,080-1147701,JP Nagar,Quick Service Restaurant,Pizza,"Fast Food, Beverages",,Sample Review Text...,2,Pubs and bars,Bengaluru,0,2,1-2 Cuisines
"Address_848, Bangalore",Pizza Hut,No,Yes,3.4,2995,080-9345380,Jayanagar,Cafe,Steak,Mexican,1500.0,Sample Review Text...,1,Cafes,Bengaluru,0,1,1-2 Cuisines
"Address_71, Bangalore",Resto_71,No,Yes,4.5,1732,080-9089795,Koramangala,Quick Service Restaurant,Burgers,"Continental, Thai, Chinese, Fast Food, Mexican",800.0,Sample Review Text...,5,Delivery,Bengaluru,1,5,3+ Cuisines
"Address_680, Bangalore",KFC,Yes,Yes,2.3,2512,080-6591646,JP Nagar,Cafe,Sushi,"Beverages, North Indian, Fast Food, Mexican, Italian",400.0,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_612, Bangalore",Onesta,Yes,No,2.3,917,080-8309538,Koramangala,Bar,Burgers,South Indian,400.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_495, Bangalore",Resto_495,Yes,No,4.1,1944,080-8478135,Jayanagar,Pub,Pizza,"Continental, Italian, Desserts, South Indian, Chinese",200.0,Sample Review Text...,5,Cafes,Bengaluru,1,5,3+ Cuisines
"Address_235, Bangalore",Nandhana Palace,No,Yes,3.6,532,080-6412833,Jayanagar,Pub,Biryani,"North Indian, Thai, Desserts",600.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_84, Bangalore",Nandhana Palace,No,No,,1265,080-5962567,Jayanagar,Cafe,Pizza,"Desserts, Italian, Beverages",600.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_41, Bangalore",Pizza Hut,Yes,Yes,3.0,1238,080-3118618,Koramangala,Fine Dining,Salad,"South Indian, Continental, North Indian, Desserts, Beverages",1000.0,Sample Review Text...,5,Delivery,Bengaluru,0,5,3+ Cuisines
"Address_238, Bangalore",Resto_238,Yes,Yes,4.0,1314,080-5745083,MG Road,Bar,Biryani,Mexican,1000.0,Sample Review Text...,1,Buffet,Bengaluru,1,1,1-2 Cuisines
"Address_757, Bangalore",Nandhana Palace,No,No,4.4,1778,080-5608971,Whitefield,Cafe,Sushi,Mexican,2000.0,Sample Review Text...,1,Delivery,Bengaluru,1,1,1-2 Cuisines
"Address_270, Bangalore",Pizza Hut,Yes,No,3.4,2511,080-7246319,JP Nagar,Quick Service Restaurant,Sushi,"Desserts, Mexican",800.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_35, Bangalore",Resto_35,Yes,Yes,2.3,105,080-6059717,Whitefield,Pub,Pizza,"Mexican, Italian, Chinese, Continental",800.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_896, Bangalore",KFC,Yes,Yes,2.8,2084,080-4673414,Whitefield,Bakery,Burgers,"North Indian, Continental, Beverages, Fast Food",600.0,Sample Review Text...,4,Cafes,Bengaluru,0,4,3+ Cuisines
"Address_8, Bangalore",Resto_8,Yes,Yes,4.5,1259,080-2161193,HSR Layout,Casual Dining,Pasta,"Fast Food, Chinese",400.0,Sample Review Text...,2,Dine-out,Bengaluru,1,2,1-2 Cuisines
"Address_795, Bangalore",Resto_795,No,Yes,2.9,1982,080-3908477,MG Road,Quick Service Restaurant,Sushi,"Continental, North Indian, Beverages, Chinese",400.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_130, Bangalore",Pizza Hut,Yes,No,3.6,1706,080-8546170,Jayanagar,Bakery,Sushi,"Continental, Italian",1200.0,Sample Review Text...,2,Delivery,Bengaluru,0,2,1-2 Cuisines
"Address_179, Bangalore",Burger King,Yes,Yes,4.5,1609,080-2828260,JP Nagar,Quick Service Restaurant,Pasta,"Continental, Italian, Chinese, Desserts",600.0,Sample Review Text...,4,Delivery,Bengaluru,1,4,3+ Cuisines
"Address_492, Bangalore",Empire Restaurant,Yes,Yes,4.9,2327,080-8965447,MG Road,Bakery,Pizza,"Mexican, Chinese",2500.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,1,2,1-2 Cuisines
"Address_734, Bangalore",Empire Restaurant,Yes,No,4.1,1256,080-3156762,Jayanagar,Pub,Pasta,"Desserts, Fast Food, Continental",600.0,Sample Review Text...,3,Buffet,Bengaluru,1,3,3+ Cuisines
